字段名,描述,备注
PAX_NAME,旅客统一编码,
PAX_passport,旅客统一编码2,
seg_route_from,出发,
seg_route_to,到达,
seg_flight,航班号,
seg_cabin,舱位,
seg_dep_time,航班日期,
pax_fcny,机票费,
pax_tax,机票税费,
emd_lable,emd,
emd_lable2,目标列。0：未付费选座；1：已付费选座,
gender,性别,
age,年龄层,
birth_date,生日,
residence_country,定居国家,
nation_name,国籍,
city_name,城市,
province_name,省份,
marital_stat,婚姻状态,
ffp_nbr,会员编号,
member_level,会员级别,
often_city,常驻城市,
enroll_chnl,注册来源,
cabin_hf_cnt,最近Y年豪华头等舱次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
cabin_f_cnt,最近Y年头等舱次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
cabin_hy_cnt,最近Y年超级经济舱次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
cabin_y_cnt,最近Y年经济舱次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
cabin_c_cnt,最近Y年公务舱次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pref_aircraft,偏好机型,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
seat_window_cnt,座位靠窗的次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
seat_walkway_cnt,座位走道的次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
seat_middle_cnt,座位中间的次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
seat_safe_cnt,座位安全出口的次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
prebuy_d_cnt,提前购买次数-国内,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
prebuy_i_cnt,提前购买次数-国际,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pref_fly_interval,偏好出行时段（离港次数）,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pref_orig,偏好出发地,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pref_line,常飞航线,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pref_city,常飞城市,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pref_month,常飞月分,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
workday_cnt,工作日出行次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
weekend_cnt,周末出行次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
holiday_cnt,节假日出行次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
close_holiday_cnt,临近节假日出行次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
ssr_cnt,购买付费SSR的次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
ssr_amt,购买付费SSR的总消费,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
flt_cnt,最近Y年飞行次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
recent_flt_day,最近一次出行日期,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
next_flt_day,距离下次飞行天数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
birth_interval_day,距离生日天数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
dist_cnt,过去Y年总里程,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
flt_nature_cnt,过去Y年总飞行次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
avg_dist_cnt,最近Y年每次旅行平均里程,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
complain_valid_cnt,最近Y年投诉次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
bag_cnt,最近Y年逾重行李次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
cabin_upgrd_cnt,最近Y年升舱次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
select_seat_cnt,最近Y年优选座位次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
dist_d_cnt,最近Y年累计里程-国内,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
dist_i_cnt,最近Y年累计里程-国际,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
dist_all_cnt,最近Y年总里程,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
cabin_hd_cnt,最近Y年高舱出行次数-国内,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
cabin_hi_cnt,最近Y年高舱出行次数-国际,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
flt_leg_cnt,最近Y年乘坐航段总数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
flt_leg_i_cnt,最近Y年乘坐国际航段次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
flt_leg_d_cnt,最近Y年乘坐国内航段次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
flt_interval,最近Y年出行时间区间,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
flt_cancel_cnt,最近Y年航班取消次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
flt_delay_cnt,最近Y年航班延误次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
flt_delay_time,最近Y年平均航班延误时间,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
workday_cnt,最近Y年工作日出行次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
rest_cnt,最近Y年休息日出行次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pref_orig_city,最近Y年出发城市次数最多的城市,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pref_dest_city,最近Y年到达城市次数最多的城市,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
cabin_f_cnt,最近Y年头等舱出行次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
cabin_c_cnt,最近Y年公务舱出行次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
cabin_y_cnt,最近Y年经济舱出行次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
cabin_upgrd_cnt,最近Y年升舱次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
cabin_fall_cnt,最近Y年降舱次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
flt_bag_cnt,最近Y年携带行李的航班次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
complain_cnt,最近Y年投诉的次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
noshow_rate,最近1年NOSHOW率,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_3y_amt,Y年机票总消费,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_avg_amt,机票平均消费,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_d_amt,最近Y年机票金额-国内,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_i_amt,最近Y年机票金额-国际,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_all_amt,最近Y年机票总金额,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_avg_amt,最近Y年平均机票金额,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_avg_disc,最近Y年平均机票折扣,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_return_cnt,最近Y年退票的次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_book_cnt,最近Y年总的订票次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_return_all_cnt,最近Y年总的换票次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_avg_interval,最近Y年平均订票时间间隔,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_interval,最近Y年订票时间区间,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_all_amt,积分余额,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_out_amt,当年失效的积分,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_accu_amt,最近Y年总累积积分分数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_cons_amt,最近Y年总消费积分分数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_avg_accu_amt,最近Y年平均累积积分分数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_avg_cons_amt,最近Y年平均消费积分分数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_accu_cnt,最近Y年总累积次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_cons_cnt,最近Y年总消费次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_air_amt,最近Y年积分增加-航空累积,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_non_amt,最近Y年积分增加-非航累积,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_buy_amt,最近Y年积分增加-积分购买,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_mnl_amt,最近Y年积分增加-手工增加,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_ech_amt,最近Y年积分增加-兑换取消,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_oth_amt,最近Y年积分增加-其他累积,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_tkt_amt,最近Y年积分减少-机票兑换,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_bag_amt,最近Y年积分减少-行李兑换,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_upg_amt,最近Y年积分减少-升舱兑换,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_mall_amt,最近Y年积分减少-商城兑换,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_selt_amt,最近Y年积分减少-选座兑换,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_out_amt,最近Y年积分减少-积分失效,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_oth_amt,最近Y年积分减少-其他兑换,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_air_cnt,最近Y年积分增加-航空累积(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_non_cnt,最近Y年积分增加-非航累积(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_buy_cnt,最近Y年积分增加-积分购买(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_mnl_cnt,最近Y年积分增加-手工增加(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_ech_cnt,最近Y年积分增加-兑换取消(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_oth_cnt,最近Y年积分增加-其他累积(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_tkt_cnt,最近Y年积分减少-机票兑换(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_bag_cnt,最近Y年积分减少-行李兑换(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_upg_cnt,最近Y年积分减少-升舱兑换(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_mall_cnt,最近Y年积分减少-商城兑换(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_selt_cnt,最近Y年积分减少-选座兑换(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_out_cnt,最近Y年积分减少-积分失效(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_oth_cnt,最近Y年积分减少-其他兑换(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_accu_non_cnt,非航累积总次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_accu_air_cnt,航空累积总次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_accu_air_amt,航空累积余额,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_accu_non_amt,非航累积余额,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_avg_amt,最近Y年航空累积平均积分数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_avg_interval,最近Y年航空累积平均时间间隔,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_now_cons_amt,当前消费积分余额,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_ech_avg_amt,最近Y年积分兑换平均值,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_out_avg_amt,最近Y年积分过期平均值,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_income_cnt,最近Y年消费积分收入次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_pay_cnt,最近Y年消费积分支出次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_income_avg_amt,最近Y年消费积分收入平均值,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_pay_avg_amt,最近Y年消费积分支出平均值,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_chnl,最近Y年积分增加主要渠道,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_next_level_dist,距下一会员级别的会员积分差,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_next_level_leg,距下一会员级别的行段数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
mdl_mcv,旅客价值,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
mdl_lost_idx,常旅客流失指数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
mdl_influence,影响力,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
mdl_loyal,常旅客忠诚度评分,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
